Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap
BCTX,-0.008277,0.000883,3.820000,27261831.050854
BCYC,-0.006210,0.001435,5.730000,373199288.418526
BDCI,-0.000440,0.000002,10.030000,347119195.377119
BDMD,0.073259,0.033165,2.980000,105403328.797054
BDRX,-0.022542,0.005145,1.080000,796847.640001
BDSX,0.023605,0.002624,15.330000,155199996.948242
BDTX,-0.000921,0.001304,2.470000,124205314.143486
BEAG,-0.000680,0.000004,10.520000,329778531.637192
BEAM,0.002325,0.002729,28.460000,2813269572.381163
BEAT,0.003620,0.002916,1.510000,59373758.685179
BEEM,0.003016,0.001988,1.630000,29495485.392610
BEEP,-0.001282,0.001424,3.040000,111672004.437447
BELFA,0.004190,0.000925,211.950000,2188276440.451996
BELFB,0.003931,0.000848,229.710000,2427607365.630798
BENF,0.006953,0.005854,4.660000,54438584.815578
BETR,0.012583,0.002671,32.900000,560212988.663948
BFC,-0.003963,0.000251,134.670000,1525422368.251572
BFRG,0.003577,0.008682,0.580000,7079651.412586
BFRI,0.002112,0.002448,0.912000,9598218.163109
BFST,-0.002602,0.000284,27.300000,871173310.216007
BGC,0.002158,0.001081,9.500200,4489966418.000000
BGIN,-0.004927,0.001070,2.710000,316780632.205258
BGL,-0.015548,0.008573,1.930000,60102588.860779
BGLC,-0.000039,0.004021,2.724000,5389546.012370
BGM,-0.044213,0.015618,1.110000,199178869.286678
BGMS,-0.003870,0.009557,0.980000,2747163.712005
BHAT,-0.105595,0.039665,2.475000,77752.601293
BHF,-0.003693,0.000053,59.980000,3452775958.699207
BHRB,-0.001481,0.000298,64.440000,948726280.076515
BHST,-0.000810,0.000742,4.710000,95427405.684671
BIAF,-0.004210,0.012016,1.060000,4768632.342582
BIDU,-0.009515,0.000593,124.440000,42697214690.805840
BIIB,0.004202,0.000826,191.820000,27625826116.888672
BILI,-0.009316,0.000766,27.900000,10661691502.531734
BIOA,0.005866,0.000330,22.270000,823776253.447235
BIOX,-0.019105,0.008265,0.560000,34005601.595176
BIRD,-0.016025,0.001533,2.840000,25542715.258412
BITF,0.001840,0.007371,2.200000,1271755117.911361
BIVI,0.007246,0.002814,1.380000,10406212.884043
BIXI,-0.000056,0.000000,9.910000,301627375.235733
BIYA,-0.048032,0.007296,1.550000,1961357.811416
BJDX,-0.024593,0.005640,2.050000,1817640.004635
BJRI,-0.006551,0.000563,37.990000,765430435.507736
BKHA,0.000845,0.000032,11.460000,48596850.107768
BKNG,-0.009789,0.001377,4229.701200,143140378043.649902
BKR,0.008446,0.000310,65.260000,59393012743.070755
BKYI,0.000062,0.003820,0.650000,6172375.327471
BL,-0.014922,0.001983,35.250000,2211402285.558243
BLBD,0.008176,0.001764,58.270000,1677598222.599346
BLBX,0.034282,0.015571,18.460000,75339845.000000
BLDP,-0.003732,0.001052,2.140000,598469928.308067
BLFS,0.004762,0.000616,24.200000,958146097.032978
BLFY,-0.000724,0.000493,13.180000,267196976.244066
BLIN,0.006438,0.002646,0.890000,11612048.286931
BLIV,-0.001408,0.001017,3.190000,32377110.167230
BLKB,-0.003581,0.001296,48.540000,2255859921.501083
BLLN,-0.003587,0.002878,76.330000,3300385311.535034
BLMN,0.002314,0.001995,6.120000,495172484.753236
BLNE,-0.006149,0.004297,2.800000,83069816.276766
BLNK,-0.003617,0.001251,0.661000,94102570.204140
BLRX,-0.003088,0.000696,2.830000,12392144.652420
BLTE,0.005636,0.000925,190.300000,6719620521.543091
BLUW,0.000061,0.000015,10.340000,335033956.302643
BLZE,-0.008596,0.002488,3.760000,225430228.561242
BLZR,-0.000330,0.000001,10.050000,345124998.688698
BMBL,-0.004102,0.002327,3.040000,470488143.263412
BMEA,0.013114,0.001807,1.370000,100399164.345729
BMGL,-0.009914,0.001956,0.600000,11081714.240313
BMHL,0.001254,0.000437,3.750000,95700555.000000
BMM,0.012200,0.004308,5.110000,475222699.569714
BMR,-0.009346,0.002719,1.650000,27021946.108104
BMRA,-0.007626,0.001119,2.080000,6404054.458975
BMRC,-0.005109,0.000485,24.890000,387430640.620237
BMRN,0.003626,0.000233,61.730000,11708646301.343510
BNAI,0.033717,0.023554,35.680000,244738485.851028
BNBX,-0.029338,0.007376,0.710000,4172216.593339
BNC,-0.018033,0.002424,3.420000,175370494.080434
BNGO,-0.005182,0.000662,1.150000,10841896.846159
BNKK,-0.000488,0.002889,3.880000,16341535.225698
BNR,-0.021173,0.004508,25.830000,242248410.000000
BNRG,-0.041980,0.010580,1.250000,1313312.999305
BNTC,-0.006906,0.001029,10.900000,429899101.933605
BNTX,0.000815,0.000275,110.230000,25635085010.855804
BNZI,0.004908,0.004028,1.220000,15019291.423561
BODI,-0.030735,0.000929,6.960000,58086461.051903
BOF,0.023963,0.002481,4.580000,48948180.278921
BOKF,-0.001613,0.000230,125.720000,7606509798.876839
BOLD,0.001747,0.000623,1.160000,25519596.219771
BOLT,-0.013754,0.002199,4.520000,7908100.820337
BON,0.000858,0.000424,1.700000,15154267.106995
BOOM,-0.015907,0.007864,5.890000,108305945.292788
BOSC,-0.004213,0.000197,4.580000,30063960.825920
BOTJ,0.000177,0.000278,19.920000,90048957.773483
BOXL,0.015758,0.026867,1.370000,1227917.423689
BPOP,-0.000308,0.000492,135.360000,8647728490.024490
BPRN,-0.005376,0.000213,33.970000,227743558.967590
BRAG,-0.013563,0.001162,1.680000,38937700.611885
BRBI,0.001381,0.005046,15.220000,379559470.961317
BRCB,-0.006932,0.002866,13.340000,275460407.520500
BRFH,-0.007616,0.002006,2.690000,45672144.844756
BRID,-0.001802,0.000416,7.370000,66896258.171239
BRKR,-0.004126,0.001402,40.110000,5662556216.134071
BRLS,0.063837,0.119413,1.650000,35414456.038275
BRLT,-0.000149,0.001216,1.550000,131147409.881515
BRNS,-0.010476,0.003056,0.584000,22950741.144834
BRR,0.010729,0.004917,2.650000,236920673.839766
BRTX,-0.066819,0.035634,0.228400,5012813.879758
BRZE,-0.003631,0.002646,18.990000,2454599495.147705
BSAA,0.000218,0.000000,10.240000,75474898.588657
BSBK,-0.000264,0.000131,8.490000,109715185.574717
BSET,-0.002042,0.000552,14.970000,122381669.315334
BSRR,-0.001193,0.000361,35.980000,451662343.000000
BSVN,-0.005852,0.000295,40.680000,379736395.387207
BSY,0.004528,0.001969,36.550000,12209065685.733063
BTAI,0.004092,0.002145,1.670000,37834219.847127
BTBD,-0.001087,0.001301,1.290000,10463031.093480
BTBT,-0.005943,0.005095,1.670000,540536955.549383
BTCS,-0.014724,0.004350,1.600000,85811433.633071
BTCT,-0.002895,0.003936,1.240000,12276897.386956
BTDR,-0.026719,0.005637,7.700000,1826879168.544342
BTM,-0.019394,0.004676,4.390000,51146303.766245
