Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
AURA,0.001701,0.001397,5.89,355618300.343856,C
AURE,-0.429577,0.002178,1.62,79577309.650199,D
AUTL,0.23913,0.001406,1.71,401876359.32186,C
AUUD,-0.105319,0.014581,0.841,2239228.136873,D
AVAH,-0.116447,0.000607,7.36,1510429303.074668,B
AVAV,-0.065706,0.003321,252.25,11474421320.981005,A
AVBH,-0.037654,0.000118,28.88,307717540.377399,C
AVBP,0.013233,0.000369,22.97,967222300.828072,C
AVGO,-0.034913,0.000752,319.55,1566896217182.7097,A
AVIR,0.149877,0.000749,4.68,460166818.008947,C
AVNW,0.106007,0.00131,25.04,321912644.343681,C
AVO,0.05659,0.000271,14.19,976964834.187444,C
AVPT,-0.078632,0.001156,10.78,2393103525.186836,B
AVR,0.058537,0.001285,6.51,602838716.254457,C
AVT,0.039962,0.000162,65.4786,4915871105.893513,B
AVTX,0.118211,0.003482,17.5,320455813.783121,C
AVX,0.005369,0.007002,0.749,67928722.987228,D
AVXL,-0.019912,0.0019,4.43,430923683.537868,C
AWRE,-0.078652,0.001801,1.64,34411650.865753,D
AXG,0.314488,0.001978,3.72,684012832.115951,C
AXGN,-0.093946,0.000913,31.73,1481678781.505211,B
AXIN,0.000988,3e-06,10.13,344423327.15546,C
AXON,0.179156,0.002885,542.4,46149070211.883545,A
AXSM,-0.118302,0.000315,163.89,8303713497.03447,A
AXTI,0.809933,0.013493,37.9,1789224467.790829,B
AYTU,-0.051661,0.001711,2.57,27047683.95528,D
AZ,-0.191029,0.000988,5.23,227643528.093388,C
AZI,-0.852153,0.023484,0.309,12175000.134028,D
AZN,0.117898,0.000445,208.45,301096068506.376,A
AZTA,-0.281108,0.003608,26.98,1119295119.557842,B
BACC,-0.002446,4e-06,10.195,286052914.689938,C
BACQ,-0.007561,3e-06,10.5,440699754.259687,C
BAER,-0.144366,0.001474,2.43,122472540.082397,D
BAFN,-0.008982,0.001674,6.62,25975225.985529,D
BAND,0.05181,0.001955,14.82,505132142.263882,C
BANF,-0.018733,0.000517,110.0,3650052913.971802,B
BANL,0.43949,0.007562,0.452,17704057.516468,D
BANR,-0.067206,0.000399,58.85,2048599250.915039,B
BANX,-0.082326,0.000138,19.73,147615838.820583,D
BAOS,-0.122186,0.001386,2.73,4112425.262438,D
BATRA,0.09327,0.00028,48.41,3097315510.884171,B
BATRK,0.090025,0.000229,43.71,2795637395.879021,B
BAYA,-0.001685,6.5e-05,11.85,41317843.304455,D
BBCP,0.115894,0.000375,6.74,342765424.800121,C
BBCQ,-0.003015,2e-05,9.92,385250003.961503,C
BBGI,-0.169043,0.002037,4.08,7504614.764732,D
BBIO,-0.150307,0.002287,66.48,12670877366.884506,A
BBLG,-0.293252,0.001611,1.152,2297932.748637,D
BBNX,-0.078102,0.001406,12.63,470894553.822599,C
BBOT,-0.166251,0.002453,10.03,833482124.642653,C
