file_name,method,N,seed,total_points,left_points,right_points,max_gap,median_gap,gap_ratio,did_split
all_2obj_NSGA2_N1768_seed11,NSGA2,1768,11,60000,60000,0,2.4046889999999994,0.0,0.0,False
all_2obj_RANDOM_N1768_seed11,RANDOM,1768,11,60000,59004,996,4.729946,2.000000000002e-06,2364972.999997635,True
all_2obj_NSGA2_N1768_seed12,NSGA2,1768,12,60000,60000,0,2.46655,0.0,0.0,False
all_2obj_RANDOM_N1768_seed12,RANDOM,1768,12,60000,58914,1086,4.726385,2.000000000002e-06,2363192.4999976363,True
all_2obj_NSGA2_N1768_seed13,NSGA2,1768,13,60000,60000,0,2.236823999999999,0.0,0.0,False
all_2obj_RANDOM_N1768_seed13,RANDOM,1768,13,60000,58983,1017,4.730803000000001,2.000000000002e-06,2365401.499997635,True
all_2obj_NSGA2_N1768_seed14,NSGA2,1768,14,60000,60000,0,2.574579,0.0,0.0,False
all_2obj_RANDOM_N1768_seed14,RANDOM,1768,14,60000,58952,1048,4.748587000000001,2.000000000002e-06,2374293.4999976256,True
all_2obj_NSGA2_N1768_seed15,NSGA2,1768,15,60000,60000,0,2.3498749999999995,0.0,0.0,False
all_2obj_RANDOM_N1768_seed15,RANDOM,1768,15,60000,58982,1018,4.791121,2.000000000002e-06,2395560.4999976046,True
all_2obj_NSGA2_N1768_seed16,NSGA2,1768,16,60000,60000,0,2.4974870000000005,0.0,0.0,False
all_2obj_RANDOM_N1768_seed16,RANDOM,1768,16,60000,58970,1030,4.71308,2.000000000002e-06,2356539.9999976433,True
all_2obj_NSGA2_N1768_seed17,NSGA2,1768,17,60000,60000,0,2.4576580000000003,0.0,0.0,False
all_2obj_RANDOM_N1768_seed17,RANDOM,1768,17,60000,58969,1031,4.738909,2.000000000002e-06,2369454.4999976302,True
all_2obj_NSGA2_N1768_seed18,NSGA2,1768,18,60000,60000,0,2.649293,0.0,0.0,False
all_2obj_RANDOM_N1768_seed18,RANDOM,1768,18,60000,58942,1058,4.744379,2.000000000002e-06,2372189.499997628,True
all_2obj_NSGA2_N1768_seed19,NSGA2,1768,19,60000,60000,0,2.791827999999999,0.0,0.0,False
all_2obj_RANDOM_N1768_seed19,RANDOM,1768,19,60000,59038,962,4.791644,2.000000000002e-06,2395821.9999976037,True
all_2obj_NSGA2_N1768_seed20,NSGA2,1768,20,60000,60000,0,2.438361,0.0,0.0,False
all_2obj_RANDOM_N1768_seed20,RANDOM,1768,20,60000,59015,985,4.731708,2.000000000002e-06,2365853.999997634,True
all_2obj_NSGA2_N1768_seed21,NSGA2,1768,21,60000,60000,0,2.5552200000000003,0.0,0.0,False
all_2obj_RANDOM_N1768_seed21,RANDOM,1768,21,60000,58940,1060,4.689195,2.000000000002e-06,2344597.499997655,True
all_2obj_NSGA2_N1768_seed22,NSGA2,1768,22,60000,60000,0,2.3392039999999996,0.0,0.0,False
all_2obj_RANDOM_N1768_seed22,RANDOM,1768,22,60000,58942,1058,4.582019,2.000000000002e-06,2291009.4999977085,True
all_2obj_NSGA2_N1768_seed23,NSGA2,1768,23,60000,60000,0,2.6819920000000006,0.0,0.0,False
all_2obj_RANDOM_N1768_seed23,RANDOM,1768,23,60000,58971,1029,4.677453,2.000000000002e-06,2338726.499997661,True
all_2obj_NSGA2_N1768_seed24,NSGA2,1768,24,60000,60000,0,2.7715050000000003,0.0,0.0,False
all_2obj_RANDOM_N1768_seed24,RANDOM,1768,24,60000,59012,988,4.7322940000000004,2.000000000002e-06,2366146.999997634,True
all_2obj_NSGA2_N1768_seed25,NSGA2,1768,25,60000,60000,0,2.4673300000000005,0.0,0.0,False
all_2obj_RANDOM_N1768_seed25,RANDOM,1768,25,60000,58991,1009,4.812511,2.000000000002e-06,2406255.4999975935,True
all_2obj_NSGA2_N1768_seed26,NSGA2,1768,26,60000,60000,0,2.4701450000000005,0.0,0.0,False
all_2obj_RANDOM_N1768_seed26,RANDOM,1768,26,60000,58975,1025,4.395447,2.000000000002e-06,2197723.499997802,True
all_2obj_NSGA2_N1768_seed27,NSGA2,1768,27,60000,60000,0,2.6715560000000003,0.0,0.0,False
all_2obj_RANDOM_N1768_seed27,RANDOM,1768,27,60000,59016,984,4.502945,2.000000000002e-06,2251472.4999977485,True
all_2obj_NSGA2_N1768_seed28,NSGA2,1768,28,60000,60000,0,2.430669,0.0,0.0,False
all_2obj_RANDOM_N1768_seed28,RANDOM,1768,28,60000,58979,1021,4.830413999999999,2.000000000002e-06,2415206.999997584,True
all_2obj_NSGA2_N1768_seed29,NSGA2,1768,29,60000,60000,0,2.633265,0.0,0.0,False
all_2obj_RANDOM_N1768_seed29,RANDOM,1768,29,60000,58968,1032,4.6365549999999995,2.000000000002e-06,2318277.4999976815,True
all_2obj_NSGA2_N2653_seed0,NSGA2,2653,0,60000,60000,0,2.0442869999999993,0.0,0.0,False
all_2obj_RANDOM_N2653_seed0,RANDOM,2653,0,60000,59333,667,4.226196,2.000000000002e-06,2113097.999997887,True
all_2obj_NSGA2_N2653_seed1,NSGA2,2653,1,60000,60000,0,1.9266640000000002,0.0,0.0,False
all_2obj_RANDOM_N2653_seed1,RANDOM,2653,1,60000,59300,700,4.180954,2.000000000002e-06,2090476.9999979092,True
all_2obj_NSGA2_N2653_seed2,NSGA2,2653,2,60000,60000,0,1.8434089999999999,0.0,0.0,False
all_2obj_RANDOM_N2653_seed2,RANDOM,2653,2,60000,59305,695,4.496053,2.000000000002e-06,2248026.499997752,True
all_2obj_NSGA2_N2653_seed3,NSGA2,2653,3,60000,60000,0,1.8527009999999997,0.0,0.0,False
all_2obj_RANDOM_N2653_seed3,RANDOM,2653,3,60000,59308,692,4.253032999999999,2.000000000002e-06,2126516.499997873,True
all_2obj_NSGA2_N2653_seed4,NSGA2,2653,4,60000,60000,0,1.564678999999999,0.0,0.0,False
all_2obj_RANDOM_N2653_seed4,RANDOM,2653,4,60000,59323,677,4.279783999999999,2.000000000002e-06,2139891.99999786,True
all_2obj_NSGA2_N2653_seed5,NSGA2,2653,5,60000,60000,0,2.1286769999999993,0.0,0.0,False
all_2obj_RANDOM_N2653_seed5,RANDOM,2653,5,60000,59313,687,4.442234,2.000000000002e-06,2221116.999997779,True
all_2obj_NSGA2_N2653_seed6,NSGA2,2653,6,60000,60000,0,2.091817000000002,0.0,0.0,False
all_2obj_RANDOM_N2653_seed6,RANDOM,2653,6,60000,59328,672,4.174528,2.000000000002e-06,2087263.9999979124,True
all_2obj_NSGA2_N2653_seed7,NSGA2,2653,7,60000,60000,0,1.9185660000000002,0.0,0.0,False
all_2obj_RANDOM_N2653_seed7,RANDOM,2653,7,60000,59338,662,4.466419,2.000000000002e-06,2233209.4999977667,True
all_2obj_NSGA2_N2653_seed8,NSGA2,2653,8,60000,60000,0,2.1861430000000004,0.0,0.0,False
all_2obj_RANDOM_N2653_seed8,RANDOM,2653,8,60000,59301,699,4.405868,2.000000000002e-06,2202933.999997797,True
all_2obj_NSGA2_N2653_seed9,NSGA2,2653,9,60000,60000,0,1.9014380000000002,0.0,0.0,False
all_2obj_RANDOM_N2653_seed9,RANDOM,2653,9,60000,59353,647,4.317795,2.000000000002e-06,2158897.499997841,True
all_2obj_NSGA2_N2653_seed10,NSGA2,2653,10,60000,60000,0,1.9013749999999998,0.0,0.0,False
all_2obj_RANDOM_N2653_seed10,RANDOM,2653,10,60000,59344,656,4.300504,2.000000000002e-06,2150251.9999978496,True
all_2obj_NSGA2_N2653_seed11,NSGA2,2653,11,60000,60000,0,1.170934,0.0,0.0,False
all_2obj_RANDOM_N2653_seed11,RANDOM,2653,11,60000,59347,653,4.223679,2.000000000002e-06,2111839.4999978878,True
all_2obj_NSGA2_N2653_seed12,NSGA2,2653,12,60000,60000,0,1.9628160000000006,0.0,0.0,False
all_2obj_RANDOM_N2653_seed12,RANDOM,2653,12,60000,59389,611,4.410328,2.000000000002e-06,2205163.9999977946,True
all_2obj_NSGA2_N2653_seed13,NSGA2,2653,13,60000,60000,0,1.6990960000000017,0.0,0.0,False
all_2obj_RANDOM_N2653_seed13,RANDOM,2653,13,60000,59291,709,4.389423,2.000000000002e-06,2194711.499997805,True
all_2obj_NSGA2_N2653_seed14,NSGA2,2653,14,60000,60000,0,1.8051069999999996,0.0,0.0,False
all_2obj_RANDOM_N2653_seed14,RANDOM,2653,14,60000,59308,692,4.435034,2.000000000002e-06,2217516.999997782,True
all_2obj_NSGA2_N2653_seed15,NSGA2,2653,15,60000,60000,0,2.0534570000000003,0.0,0.0,False
all_2obj_RANDOM_N2653_seed15,RANDOM,2653,15,60000,59299,701,4.197101999999999,2.000000000002e-06,2098550.999997901,True
all_2obj_NSGA2_N2653_seed16,NSGA2,2653,16,60000,60000,0,1.8622760000000005,0.0,0.0,False
all_2obj_RANDOM_N2653_seed16,RANDOM,2653,16,60000,59310,690,4.500333,2.000000000002e-06,2250166.49999775,True
